id;start_date;end_date;language
1;2019-05-26T23:07:59;2019-05-26T16:16:16;FRENCH
2;2019-05-27T00:38:04;2019-05-26T09:44:14;FRENCH
3;2019-05-26T20:10:09;2019-05-26T11:34:09;FRENCH
4;2019-05-26T09:22:00;2019-05-26T16:49:02;FRENCH
5;2019-05-26T18:20:39;2019-05-26T23:04:48;FRENCH
6;2019-05-27T00:37:40;2019-05-27T01:54:36;FRENCH
7;2019-05-26T10:00:00;2019-05-26T22:40:46;FRENCH
8;2019-05-26T07:31:18;2019-05-26T15:31:27;FRENCH
9;2019-05-26T17:19:24;2019-05-27T01:44:03;FRENCH
10;2019-05-26T20:37:34;2019-05-26T17:53:49;FRENCH
